									Percentile	Global Written	Global Read	Temp Written	Temp Read
									20	43	28	0	0
									50	"26,434"	"12,310"	"3,621"	"5,270"
									90	"5,189,312"	"3,664,867"	"2,335,200"	"3,109,876"
									99	"109,872,552"	"104,301,900"	"48,835,649"	"57,291,349"
									99.9	"723,635,551"	"719,054,918"	"272,325,283"	"355,459,219"
									99.99	"2,870,992,194"	"2,870,710,332"	"2,095,380,984"	"2,121,207,419"
													
													
									Max	"4,744,884,684"	"4,743,848,299"	" 2,876,545,372 "	" 2,578,337,402 "
													
													
													
													
													
													
VC	Job	Total Read	Total Temp Read	Total Global Read	Total Written	Total Temp Written	Total Global Written						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-02_Job	0	0	0	0	0	0						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-03_Job	0	0	0	0	0	0						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-04_Job	0	0	0	0	0	0						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-05_Job	0.016383	0.006196	0.010187	0.016383	0.006196	0.010187						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-06_Job	0.007159	0.002831	0.004328	0.007159	0.002831	0.004328						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-07_Job	0.020942	0.009395	0.011547	0.020942	0.009395	0.011547						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-08_Job	0.016014	0.006172	0.009842	0.016014	0.006172	0.009842						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-09_Job	0	0	0	0	0	0						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-10_Job	0.014865	0.005599	0.009266	0.014865	0.005599	0.009266						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-11_Job	0.011298	0.00463	0.006668	0.011298	0.00463	0.006668						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-12_Job	0	0	0	0	0	0						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-12-23_Job	9.910054	7.276612	2.633442	9.910054	6.230708	3.679346						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-00_Job	10.52286	7.634653	2.888207	10.52286	6.527994	3.994866						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-01_Job	10.058466	7.204028	2.854438	10.058466	6.166046	3.89242						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-02_Job	9.007756	6.389907	2.617849	9.007756	5.49433	3.513426						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-03_Job	8.35124	5.925325	2.425915	8.35124	5.131414	3.219826						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-04_Job	9.799486	7.407529	2.391957	9.799486	5.963616	3.83587						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-05_Job	11.422534	8.536884	2.88565	11.422534	7.255721	4.166813						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-06_Job	8.585911	5.958414	2.627497	8.585911	5.125003	3.460908						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-07_Job	7.009125	4.999653	2.009472	7.009125	4.299725	2.7094						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-08_Job	6.152295	4.396505	1.75579	6.152295	3.774892	2.377403						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-09_Job	6.194539	4.504468	1.690071	6.194539	3.85229	2.342249						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-10_Job	7.26521	5.381584	1.883626	7.26521	4.572503	2.692707						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-11_Job	6.034211	4.256888	1.777323	6.034211	3.643924	2.390287						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-12_Job	5.932162	4.297965	1.634197	5.932162	3.681637	2.250525						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-13_Job	5.886445	4.244549	1.641896	5.886445	3.633605	2.25284						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-14_Job	6.282107	4.576032	1.706075	6.282107	3.910316	2.371791						
adcenter.bicore	AdMetrix_CFR_Loader_-2014-02-13-15_Job	4.460442	2.996097	1.464345	4.460442	2.633469	1.826973						
